# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVD_LightJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVD_LightJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVD_LightJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	1.786809e+06	9.452008e+02	9.452008e+02
2.000000e+00	4.000000e+00	7.745500e+03	6.223142e+01	6.223142e+01
4.000000e+00	6.000000e+00	5.371500e+03	5.182422e+01	5.182422e+01
6.000000e+00	8.000000e+00	4.082000e+03	4.517743e+01	4.517743e+01
8.000000e+00	1.000000e+01	3.326000e+03	4.077990e+01	4.077990e+01
1.000000e+01	1.200000e+01	2.739500e+03	3.701013e+01	3.701013e+01
1.200000e+01	1.400000e+01	2.316500e+03	3.403307e+01	3.403307e+01
1.400000e+01	1.600000e+01	1.990500e+03	3.154758e+01	3.154758e+01
1.600000e+01	1.800000e+01	1.803000e+03	3.002499e+01	3.002499e+01
1.800000e+01	2.000000e+01	1.579000e+03	2.809804e+01	2.809804e+01
2.000000e+01	2.200000e+01	1.395500e+03	2.641496e+01	2.641496e+01
2.200000e+01	2.400000e+01	1.248500e+03	2.498500e+01	2.498500e+01
2.400000e+01	2.600000e+01	1.131000e+03	2.378024e+01	2.378024e+01
2.600000e+01	2.800000e+01	1.025500e+03	2.264398e+01	2.264398e+01
2.800000e+01	3.000000e+01	9.115000e+02	2.134830e+01	2.134830e+01
3.000000e+01	3.200000e+01	8.700000e+02	2.085665e+01	2.085665e+01
3.200000e+01	3.400000e+01	8.035000e+02	2.004370e+01	2.004370e+01
3.400000e+01	3.600000e+01	6.915000e+02	1.859435e+01	1.859435e+01
3.600000e+01	3.800000e+01	6.725000e+02	1.833712e+01	1.833712e+01
3.800000e+01	4.000000e+01	6.440000e+02	1.794436e+01	1.794436e+01
4.000000e+01	4.200000e+01	6.015000e+02	1.734215e+01	1.734215e+01
4.200000e+01	4.400000e+01	5.745000e+02	1.694845e+01	1.694845e+01
4.400000e+01	4.600000e+01	5.150000e+02	1.604681e+01	1.604681e+01
4.600000e+01	4.800000e+01	4.995000e+02	1.580348e+01	1.580348e+01
4.800000e+01	5.000000e+01	4.555000e+02	1.509139e+01	1.509139e+01
5.000000e+01	5.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	5.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+01	5.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	6.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e+01	6.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	6.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e+01	7.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+01	7.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	8.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	8.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+01	8.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	9.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+01	9.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+01	9.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+01	9.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

