# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMass_LightJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMass_LightJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMass_LightJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMass_LightJets
RatioPlot=1
Legend=1
XLabel=$M(Sec.\;Vertex)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMass_LightJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMass_LightJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	5.876500e+04	5.420563e+02	5.420563e+02
2.000000e-01	4.000000e-01	5.850000e+02	5.408327e+01	5.408327e+01
4.000000e-01	6.000000e-01	5.000000e+00	5.000000e+00	5.000000e+00
6.000000e-01	8.000000e-01	1.075000e+03	7.331439e+01	7.331439e+01
8.000000e-01	1.000000e+00	2.255000e+04	3.357827e+02	3.357827e+02
1.000000e+00	1.200000e+00	3.445000e+03	1.312440e+02	1.312440e+02
1.200000e+00	1.400000e+00	1.090000e+03	7.382412e+01	7.382412e+01
1.400000e+00	1.600000e+00	1.125000e+03	7.500000e+01	7.500000e+01
1.600000e+00	1.800000e+00	1.160000e+03	7.615773e+01	7.615773e+01
1.800000e+00	2.000000e+00	1.085000e+03	7.365460e+01	7.365460e+01
2.000000e+00	2.200000e+00	1.080000e+03	7.348469e+01	7.348469e+01
2.200000e+00	2.400000e+00	9.800000e+02	7.000000e+01	7.000000e+01
2.400000e+00	2.600000e+00	9.300000e+02	6.819091e+01	6.819091e+01
2.600000e+00	2.800000e+00	1.040000e+03	7.211103e+01	7.211103e+01
2.800000e+00	3.000000e+00	8.450000e+02	6.500000e+01	6.500000e+01
3.000000e+00	3.200000e+00	8.100000e+02	6.363961e+01	6.363961e+01
3.200000e+00	3.400000e+00	7.750000e+02	6.224950e+01	6.224950e+01
3.400000e+00	3.600000e+00	6.200000e+02	5.567764e+01	5.567764e+01
3.600000e+00	3.800000e+00	7.200000e+02	6.000000e+01	6.000000e+01
3.800000e+00	4.000000e+00	5.600000e+02	5.291503e+01	5.291503e+01
4.000000e+00	4.200000e+00	5.150000e+02	5.074446e+01	5.074446e+01
4.200000e+00	4.400000e+00	4.300000e+02	4.636809e+01	4.636809e+01
4.400000e+00	4.600000e+00	4.500000e+02	4.743416e+01	4.743416e+01
4.600000e+00	4.800000e+00	4.400000e+02	4.690416e+01	4.690416e+01
4.800000e+00	5.000000e+00	3.450000e+02	4.153312e+01	4.153312e+01
5.000000e+00	5.200000e+00	3.150000e+02	3.968627e+01	3.968627e+01
5.200000e+00	5.400000e+00	2.800000e+02	3.741657e+01	3.741657e+01
5.400000e+00	5.600000e+00	2.000000e+02	3.162278e+01	3.162278e+01
5.600000e+00	5.800000e+00	1.950000e+02	3.122499e+01	3.122499e+01
5.800000e+00	6.000000e+00	1.450000e+02	2.692582e+01	2.692582e+01
6.000000e+00	6.200000e+00	1.800000e+02	3.000000e+01	3.000000e+01
6.200000e+00	6.400000e+00	1.100000e+02	2.345208e+01	2.345208e+01
6.400000e+00	6.600000e+00	7.500000e+01	1.936492e+01	1.936492e+01
6.600000e+00	6.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+00	7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+00	7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
