# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_BottomJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_BottomJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_BottomJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_BottomJets
RatioPlot=1
Legend=1
XLabel=$d_{xy}(CP,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_BottomJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	9.682040e+06	1.391549e+04	1.391549e+04
5.000000e-02	1.000000e-01	1.977220e+06	6.288434e+03	6.288434e+03
1.000000e-01	1.500000e-01	1.492180e+06	5.462930e+03	5.462930e+03
1.500000e-01	2.000000e-01	1.162160e+06	4.821120e+03	4.821120e+03
2.000000e-01	2.500000e-01	9.369400e+05	4.328834e+03	4.328834e+03
2.500000e-01	3.000000e-01	7.688800e+05	3.921428e+03	3.921428e+03
3.000000e-01	3.500000e-01	6.484000e+05	3.601111e+03	3.601111e+03
3.500000e-01	4.000000e-01	5.531400e+05	3.326079e+03	3.326079e+03
4.000000e-01	4.500000e-01	4.665200e+05	3.054570e+03	3.054570e+03
4.500000e-01	5.000000e-01	4.013600e+05	2.833231e+03	2.833231e+03
5.000000e-01	5.500000e-01	3.493800e+05	2.643407e+03	2.643407e+03
5.500000e-01	6.000000e-01	3.023200e+05	2.458943e+03	2.458943e+03
6.000000e-01	6.500000e-01	2.605000e+05	2.282542e+03	2.282542e+03
6.500000e-01	7.000000e-01	2.325800e+05	2.156757e+03	2.156757e+03
7.000000e-01	7.500000e-01	1.993400e+05	1.996697e+03	1.996697e+03
7.500000e-01	8.000000e-01	1.707800e+05	1.848134e+03	1.848134e+03
8.000000e-01	8.500000e-01	1.534000e+05	1.751571e+03	1.751571e+03
8.500000e-01	9.000000e-01	1.343800e+05	1.639390e+03	1.639390e+03
9.000000e-01	9.500000e-01	1.228800e+05	1.567673e+03	1.567673e+03
9.500000e-01	1.000000e+00	1.078600e+05	1.468741e+03	1.468741e+03
1.000000e+00	1.050000e+00	9.704000e+04	1.393126e+03	1.393126e+03
1.050000e+00	1.100000e+00	8.718000e+04	1.320454e+03	1.320454e+03
1.100000e+00	1.150000e+00	7.852000e+04	1.253156e+03	1.253156e+03
1.150000e+00	1.200000e+00	7.092000e+04	1.190966e+03	1.190966e+03
