# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/H_ChargedParticleJetDr_LightJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/H_ChargedParticleJetDr_LightJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/H_ChargedParticleJetDr_LightJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/H_ChargedParticleJetDr_LightJets
RatioPlot=1
Legend=1
XLabel=$\Delta R(CP,Jet)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/H_ChargedParticleJetDr_LightJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/H_ChargedParticleJetDr_LightJets
Rebin=2
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	3.468600e+06	1.862418e+04	1.862418e+04
1.000000e-02	2.000000e-02	9.319700e+06	3.052818e+04	3.052818e+04
2.000000e-02	3.000000e-02	1.337800e+07	3.657595e+04	3.657595e+04
3.000000e-02	4.000000e-02	1.591680e+07	3.989586e+04	3.989586e+04
4.000000e-02	5.000000e-02	1.737880e+07	4.168789e+04	4.168789e+04
5.000000e-02	6.000000e-02	1.799970e+07	4.242605e+04	4.242605e+04
6.000000e-02	7.000000e-02	1.822720e+07	4.269333e+04	4.269333e+04
7.000000e-02	8.000000e-02	1.799710e+07	4.242299e+04	4.242299e+04
8.000000e-02	9.000000e-02	1.767370e+07	4.204010e+04	4.204010e+04
9.000000e-02	1.000000e-01	1.709440e+07	4.134537e+04	4.134537e+04
1.000000e-01	1.100000e-01	1.657580e+07	4.071339e+04	4.071339e+04
1.100000e-01	1.200000e-01	1.586290e+07	3.982826e+04	3.982826e+04
1.200000e-01	1.300000e-01	1.522830e+07	3.902345e+04	3.902345e+04
1.300000e-01	1.400000e-01	1.450520e+07	3.808569e+04	3.808569e+04
1.400000e-01	1.500000e-01	1.377720e+07	3.711765e+04	3.711765e+04
1.500000e-01	1.600000e-01	1.312580e+07	3.622955e+04	3.622955e+04
1.600000e-01	1.700000e-01	1.250790e+07	3.536651e+04	3.536651e+04
1.700000e-01	1.800000e-01	1.190620e+07	3.450536e+04	3.450536e+04
1.800000e-01	1.900000e-01	1.126140e+07	3.355801e+04	3.355801e+04
1.900000e-01	2.000000e-01	1.067500e+07	3.267262e+04	3.267262e+04
2.000000e-01	2.100000e-01	1.018260e+07	3.191019e+04	3.191019e+04
2.100000e-01	2.200000e-01	9.665400e+06	3.108923e+04	3.108923e+04
2.200000e-01	2.300000e-01	9.168000e+06	3.027871e+04	3.027871e+04
2.300000e-01	2.400000e-01	8.724300e+06	2.953693e+04	2.953693e+04
2.400000e-01	2.500000e-01	8.283600e+06	2.878124e+04	2.878124e+04
2.500000e-01	2.600000e-01	7.918000e+06	2.813894e+04	2.813894e+04
2.600000e-01	2.700000e-01	7.513500e+06	2.741076e+04	2.741076e+04
2.700000e-01	2.800000e-01	7.182200e+06	2.679963e+04	2.679963e+04
2.800000e-01	2.900000e-01	6.877100e+06	2.622423e+04	2.622423e+04
2.900000e-01	3.000000e-01	6.566000e+06	2.562421e+04	2.562421e+04
3.000000e-01	3.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
