# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_BottomJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_BottomJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_BottomJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_BottomJets
RatioPlot=1
Legend=1
XLabel=$d(CP,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_BottomJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	3.365405e+06	4.102076e+03	4.102076e+03
2.000000e-01	4.000000e-01	7.425950e+05	1.926908e+03	1.926908e+03
4.000000e-01	6.000000e-01	4.174600e+05	1.444749e+03	1.444749e+03
6.000000e-01	8.000000e-01	2.548950e+05	1.128926e+03	1.128926e+03
8.000000e-01	1.000000e+00	1.552100e+05	8.809370e+02	8.809370e+02
1.000000e+00	1.200000e+00	1.035500e+05	7.195485e+02	7.195485e+02
1.200000e+00	1.400000e+00	7.011000e+04	5.920726e+02	5.920726e+02
1.400000e+00	1.600000e+00	4.977500e+04	4.988737e+02	4.988737e+02
1.600000e+00	1.800000e+00	3.618000e+04	4.253234e+02	4.253234e+02
1.800000e+00	2.000000e+00	2.681000e+04	3.661284e+02	3.661284e+02
2.000000e+00	2.200000e+00	1.363500e+04	2.611034e+02	2.611034e+02
2.200000e+00	2.400000e+00	6.440000e+03	1.794436e+02	1.794436e+02
2.400000e+00	2.600000e+00	4.150000e+03	1.440486e+02	1.440486e+02
2.600000e+00	2.800000e+00	2.460000e+03	1.109054e+02	1.109054e+02
2.800000e+00	3.000000e+00	1.610000e+03	8.972179e+01	8.972179e+01
3.000000e+00	3.200000e+00	1.145000e+03	7.566373e+01	7.566373e+01
3.200000e+00	3.400000e+00	8.100000e+02	6.363961e+01	6.363961e+01
3.400000e+00	3.600000e+00	6.150000e+02	5.545268e+01	5.545268e+01
3.600000e+00	3.800000e+00	4.050000e+02	4.500000e+01	4.500000e+01
3.800000e+00	4.000000e+00	3.300000e+02	4.062019e+01	4.062019e+01
4.000000e+00	4.200000e+00	3.100000e+02	3.937004e+01	3.937004e+01
4.200000e+00	4.400000e+00	2.000000e+02	3.162278e+01	3.162278e+01
4.400000e+00	4.600000e+00	1.600000e+02	2.828427e+01	2.828427e+01
4.600000e+00	4.800000e+00	9.000000e+01	2.121320e+01	2.121320e+01
4.800000e+00	5.000000e+00	1.100000e+02	2.345208e+01	2.345208e+01
5.000000e+00	5.200000e+00	6.500000e+01	1.802776e+01	1.802776e+01
5.200000e+00	5.400000e+00	6.500000e+01	1.802776e+01	1.802776e+01
5.400000e+00	5.600000e+00	5.500000e+01	1.658312e+01	1.658312e+01
5.600000e+00	5.800000e+00	2.500000e+01	1.118034e+01	1.118034e+01
5.800000e+00	6.000000e+00	3.500000e+01	1.322876e+01	1.322876e+01
6.000000e+00	6.200000e+00	3.000000e+01	1.224745e+01	1.224745e+01
6.200000e+00	6.400000e+00	2.500000e+01	1.118034e+01	1.118034e+01
6.400000e+00	6.600000e+00	1.500000e+01	8.660254e+00	8.660254e+00
6.600000e+00	6.800000e+00	1.500000e+01	8.660254e+00	8.660254e+00
6.800000e+00	7.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
7.000000e+00	7.200000e+00	1.000000e+01	7.071068e+00	7.071068e+00
7.200000e+00	7.400000e+00	1.000000e+01	7.071068e+00	7.071068e+00
7.400000e+00	7.600000e+00	5.000000e+00	5.000000e+00	5.000000e+00
7.600000e+00	7.800000e+00	1.500000e+01	8.660254e+00	8.660254e+00
7.800000e+00	8.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
8.000000e+00	8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.600000e+00	5.000000e+00	5.000000e+00	5.000000e+00
8.600000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	9.000000e+00	1.000000e+01	7.071068e+00	7.071068e+00
9.000000e+00	9.200000e+00	1.500000e+01	8.660254e+00	8.660254e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	1.000000e+01	7.071068e+00	7.071068e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_BottomJets
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_BottomJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.526869e+07	8.737474e+03	8.737474e+03
2.000000e-01	4.000000e-01	3.458045e+06	4.158152e+03	4.158152e+03
4.000000e-01	6.000000e-01	1.954770e+06	3.126316e+03	3.126316e+03
6.000000e-01	8.000000e-01	1.198600e+06	2.448060e+03	2.448060e+03
8.000000e-01	1.000000e+00	7.367000e+05	1.919245e+03	1.919245e+03
1.000000e+00	1.200000e+00	4.880750e+05	1.562170e+03	1.562170e+03
1.200000e+00	1.400000e+00	3.361500e+05	1.296437e+03	1.296437e+03
1.400000e+00	1.600000e+00	2.388950e+05	1.092920e+03	1.092920e+03
1.600000e+00	1.800000e+00	1.775300e+05	9.421518e+02	9.421518e+02
1.800000e+00	2.000000e+00	1.311700e+05	8.098457e+02	8.098457e+02
2.000000e+00	2.200000e+00	6.578000e+04	5.734980e+02	5.734980e+02
2.200000e+00	2.400000e+00	3.180000e+04	3.987480e+02	3.987480e+02
2.400000e+00	2.600000e+00	1.869000e+04	3.056959e+02	3.056959e+02
2.600000e+00	2.800000e+00	1.255000e+04	2.504995e+02	2.504995e+02
2.800000e+00	3.000000e+00	7.960000e+03	1.994994e+02	1.994994e+02
3.000000e+00	3.200000e+00	5.750000e+03	1.695582e+02	1.695582e+02
3.200000e+00	3.400000e+00	4.475000e+03	1.495828e+02	1.495828e+02
3.400000e+00	3.600000e+00	2.960000e+03	1.216553e+02	1.216553e+02
3.600000e+00	3.800000e+00	2.255000e+03	1.061838e+02	1.061838e+02
3.800000e+00	4.000000e+00	1.705000e+03	9.233093e+01	9.233093e+01
4.000000e+00	4.200000e+00	1.330000e+03	8.154753e+01	8.154753e+01
4.200000e+00	4.400000e+00	1.175000e+03	7.664855e+01	7.664855e+01
4.400000e+00	4.600000e+00	8.350000e+02	6.461424e+01	6.461424e+01
4.600000e+00	4.800000e+00	6.100000e+02	5.522681e+01	5.522681e+01
4.800000e+00	5.000000e+00	6.450000e+02	5.678908e+01	5.678908e+01
5.000000e+00	5.200000e+00	5.000000e+02	5.000000e+01	5.000000e+01
5.200000e+00	5.400000e+00	3.600000e+02	4.242641e+01	4.242641e+01
5.400000e+00	5.600000e+00	3.100000e+02	3.937004e+01	3.937004e+01
5.600000e+00	5.800000e+00	2.700000e+02	3.674235e+01	3.674235e+01
5.800000e+00	6.000000e+00	2.150000e+02	3.278719e+01	3.278719e+01
6.000000e+00	6.200000e+00	1.650000e+02	2.872281e+01	2.872281e+01
6.200000e+00	6.400000e+00	1.500000e+02	2.738613e+01	2.738613e+01
6.400000e+00	6.600000e+00	1.500000e+02	2.738613e+01	2.738613e+01
