# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_AllJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_AllJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_AllJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_AllJets
RatioPlot=1
Legend=1
XLabel=$d(CP,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_AllJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	2.544838e+07	1.128016e+04	1.128016e+04
2.000000e-01	4.000000e-01	1.139520e+06	2.386965e+03	2.386965e+03
4.000000e-01	6.000000e-01	6.442800e+05	1.794826e+03	1.794826e+03
6.000000e-01	8.000000e-01	4.039800e+05	1.421232e+03	1.421232e+03
8.000000e-01	1.000000e+00	2.429100e+05	1.102066e+03	1.102066e+03
1.000000e+00	1.200000e+00	1.621700e+05	9.004721e+02	9.004721e+02
1.200000e+00	1.400000e+00	1.117400e+05	7.474624e+02	7.474624e+02
1.400000e+00	1.600000e+00	8.123500e+04	6.373186e+02	6.373186e+02
1.600000e+00	1.800000e+00	5.990000e+04	5.472659e+02	5.472659e+02
1.800000e+00	2.000000e+00	4.483500e+04	4.734712e+02	4.734712e+02
2.000000e+00	2.200000e+00	2.434500e+04	3.488911e+02	3.488911e+02
2.200000e+00	2.400000e+00	1.205500e+04	2.455097e+02	2.455097e+02
2.400000e+00	2.600000e+00	7.980000e+03	1.997498e+02	1.997498e+02
2.600000e+00	2.800000e+00	5.125000e+03	1.600781e+02	1.600781e+02
2.800000e+00	3.000000e+00	3.525000e+03	1.327592e+02	1.327592e+02
3.000000e+00	3.200000e+00	2.605000e+03	1.141271e+02	1.141271e+02
3.200000e+00	3.400000e+00	2.055000e+03	1.013657e+02	1.013657e+02
3.400000e+00	3.600000e+00	1.545000e+03	8.789198e+01	8.789198e+01
3.600000e+00	3.800000e+00	1.180000e+03	7.681146e+01	7.681146e+01
3.800000e+00	4.000000e+00	8.850000e+02	6.652067e+01	6.652067e+01
4.000000e+00	4.200000e+00	7.050000e+02	5.937171e+01	5.937171e+01
4.200000e+00	4.400000e+00	5.850000e+02	5.408327e+01	5.408327e+01
4.400000e+00	4.600000e+00	4.700000e+02	4.847680e+01	4.847680e+01
4.600000e+00	4.800000e+00	3.700000e+02	4.301163e+01	4.301163e+01
4.800000e+00	5.000000e+00	3.500000e+02	4.183300e+01	4.183300e+01
5.000000e+00	5.200000e+00	2.200000e+02	3.316625e+01	3.316625e+01
5.200000e+00	5.400000e+00	2.300000e+02	3.391165e+01	3.391165e+01
5.400000e+00	5.600000e+00	1.650000e+02	2.872281e+01	2.872281e+01
5.600000e+00	5.800000e+00	1.100000e+02	2.345208e+01	2.345208e+01
5.800000e+00	6.000000e+00	1.100000e+02	2.345208e+01	2.345208e+01
6.000000e+00	6.200000e+00	1.150000e+02	2.397916e+01	2.397916e+01
6.200000e+00	6.400000e+00	1.000000e+02	2.236068e+01	2.236068e+01
6.400000e+00	6.600000e+00	8.500000e+01	2.061553e+01	2.061553e+01
6.600000e+00	6.800000e+00	6.000000e+01	1.732051e+01	1.732051e+01
6.800000e+00	7.000000e+00	3.000000e+01	1.224745e+01	1.224745e+01
7.000000e+00	7.200000e+00	6.000000e+01	1.732051e+01	1.732051e+01
7.200000e+00	7.400000e+00	4.000000e+01	1.414214e+01	1.414214e+01
7.400000e+00	7.600000e+00	3.500000e+01	1.322876e+01	1.322876e+01
